Northwestern,1,169,All,LowToHigh
Farragut,1,168,All,LowToHigh
Killdeer,2,117,All,HighToLow
Mcguire,1,95,All,LowToHigh
Glacier Hill,2,126,All,HighToLow
Amoth,2,32,All,HighToLow
Shasta,2,118,All,LowToHigh
Northport,1,21,All,HighToLow
Hoard,2,183,All,LowToHigh
Emmet,2,163,All,LowToHigh
Beilfuss,2,59,All,LowToHigh
Manitowish,1,50,All,LowToHigh
Mayer,2,126,All,HighToLow
Carioca,2,110,All,LowToHigh
Forster,1,121,All,LowToHigh
Granby,1,179,All,HighToLow
Mosinee,1,75,All,LowToHigh
Sloan,1,51,All,HighToLow
3rd,2,151,All,HighToLow
Birchwood,2,160,All,LowToHigh
Pennsylvania,1,177,All,LowToHigh
Weeping Birch,2,188,All,HighToLow
Cottonwood,1,11,All,LowToHigh
Michigan,1,194,All,LowToHigh
Johnson,1,138,All,HighToLow
Hudson,1,102,All,HighToLow
Ruskin,1,59,All,LowToHigh
Redwing,2,200,All,LowToHigh
Morrow,2,52,All,HighToLow
Mitchell,1,126,All,HighToLow
Golf Course,2,50,All,LowToHigh
Nova,2,68,All,HighToLow
Forest Run,1,140,All,HighToLow
Memorial,1,184,All,HighToLow
Lillian,1,121,All,HighToLow
Quincy,2,133,All,HighToLow
Bellgrove,1,157,All,LowToHigh
Monica,1,153,All,HighToLow
Elgar,1,121,All,LowToHigh
Gerald,1,131,All,HighToLow
Derek,2,154,All,HighToLow
Macpherson,1,197,All,HighToLow
North,2,157,All,LowToHigh
Schlimgen,1,85,All,LowToHigh
Kings,2,143,All,HighToLow
Del Sol,2,122,All,HighToLow
Debra,2,170,All,LowToHigh
Mallory,1,125,All,HighToLow
Center,2,171,All,LowToHigh
Tomscot,2,178,All,LowToHigh
Karstens,1,66,All,LowToHigh
Birchwood,2,61,All,LowToHigh
Gateway,1,163,All,LowToHigh
Dixon,2,64,All,HighToLow
Rutledge,1,91,All,HighToLow
Di Loreto,1,121,All,HighToLow
Northfield,2,12,All,LowToHigh
Sycamore,1,13,All,HighToLow
Brentwood,2,183,All,LowToHigh
Continental,1,67,All,LowToHigh
Grasskamp,2,177,All,HighToLow
Briar Crest,2,120,All,HighToLow
Lyons,2,83,All,LowToHigh
Commercial,2,38,All,HighToLow
Harbort,1,19,All,HighToLow
Larry,2,28,All,LowToHigh
Prentice,1,89,All,LowToHigh
Boyd,1,72,All,HighToLow
Kingsford,2,153,All,HighToLow
Arrowood,2,46,All,HighToLow
Sunbrook,1,200,All,LowToHigh
Continental,2,173,All,HighToLow
Banding,1,183,All,LowToHigh
Schiller,1,42,All,HighToLow
Elka,1,121,All,HighToLow
Prentice,1,121,All,LowToHigh
Merry,1,47,All,LowToHigh
Forest Dale,1,87,All,LowToHigh
Farmco,2,98,All,HighToLow
Morningstar,2,77,All,LowToHigh
Melvin,1,78,All,LowToHigh
Bartillon,1,134,All,LowToHigh
Northport,2,173,All,HighToLow
Center,1,102,All,HighToLow
Mayer,1,11,All,HighToLow
Parkside,2,183,All,HighToLow
Blaine,2,32,All,HighToLow
Milwaukee,2,13,All,LowToHigh
Oxford,1,116,All,LowToHigh
Del Sol,2,198,All,HighToLow
Hollow Ridge,2,75,All,HighToLow
Emmet,2,52,All,LowToHigh
7th,2,184,All,LowToHigh
Jackson,2,41,All,HighToLow
Sutherland,1,78,All,HighToLow
Beilfuss,1,185,All,LowToHigh
East,2,33,All,LowToHigh
Menomonie,2,65,All,LowToHigh
Eagle Crest,1,197,All,LowToHigh
Pond,2,154,All,LowToHigh
Coleman,2,52,All,HighToLow
Butternut,1,93,All,HighToLow
Goodland,1,122,All,LowToHigh
Spohn,1,50,All,HighToLow
Dawn,2,22,All,HighToLow
Springs,2,80,All,HighToLow
Sage,2,22,All,LowToHigh
Old Shore,1,87,All,LowToHigh
Cambridge,1,142,All,HighToLow
Veith,2,195,All,HighToLow
Messerschmidt,1,98,All,HighToLow
Fordem,1,74,All,LowToHigh
Lake View,2,186,All,HighToLow
Sutherland,2,186,All,LowToHigh
Monument,2,84,All,LowToHigh
Sundown,2,20,All,LowToHigh
Lyons,2,137,All,HighToLow
Granby,2,82,All,LowToHigh
Harper,1,188,All,HighToLow
Evergreen,1,66,All,HighToLow
Hansons,2,134,All,LowToHigh
Stephen,1,91,All,LowToHigh
Cardinal,2,22,All,LowToHigh
Dawn,2,185,All,HighToLow
Waubesa,1,72,All,HighToLow
Holy Cross,1,110,All,HighToLow
Oakridge,2,145,All,LowToHigh
Ryan,2,26,All,LowToHigh
Steensland,2,59,All,HighToLow
Burrows,1,65,All,HighToLow
Boyd,2,44,All,LowToHigh
Buhler,2,185,All,HighToLow
5th,2,116,All,LowToHigh
Beilfuss,1,63,All,LowToHigh
Artisan,2,64,All,LowToHigh
Westerfield,2,130,All,LowToHigh
Esch,2,94,All,HighToLow
Lukken,1,48,All,LowToHigh
Elgar,1,150,All,HighToLow
Hagan,1,130,All,LowToHigh
Lyons,2,31,All,HighToLow
Marcy,1,20,All,HighToLow
Mitchell,1,97,All,LowToHigh
Prairie Rose,2,187,All,LowToHigh
Corry,2,19,All,HighToLow
Corben,1,121,All,HighToLow
Red Cloud,1,30,All,HighToLow
Melrose,2,101,All,LowToHigh
Fair Oaks,2,67,All,LowToHigh
Cherokee,1,83,All,HighToLow
